OBJECTID,HUC12,Name,RarAqRankSW,RarAqSumSW,RarFish,RarAqAmph,RarAqRept,Shape__Area,Shape__Length
772,180102041101,Spaulding Reservoir,0,0,0,0,0,198458553.304688,89397.6178774667
773,180200021103,Lower Turner Creek,1,0.056604,1,0,0,80248529.15625,55385.7540597606
774,180200021202,Blacks Canyon,0,0,0,0,0,164485327.078125,88157.4103773667
775,180600060705,Meadow Creek-Frontal Pacific Ocean,5,0.54717,3,1,2,156706479.644531,180545.80287113
776,180600060701,Upper San Luis Obispo Creek,5,0.433962,1,3,1,95213209.6015625,45801.5082202627
777,180600050503,Lower Big Sandy Creek,0,0,0,0,0,140373149.734375,74113.9593652597
778,180600050407,Bridge Canyon-Salinas River,3,0.283019,1,1,1,65022620.8671875,60244.6601104631
779,180600050307,Lower Huerhuero Creek,2,0.132075,1,1,0,96043580.8867188,75199.2848514122
780,180600050902,Upper Lewis Creek,2,0.150943,0,0,1,68318983.8984375,44865.6925766947
781,180400140204,Clough Canyon-Panoche Creek,2,0.150943,0,0,1,111566977.699219,64583.9111687983
782,180400010401,South Fork Little Panoche Creek,1,0.075472,0,1,0,63131110.0585938,39519.0591540262
783,180400012005,Lower Poso Slough-Salt Slough,3,0.207547,1,0,1,253768402.667969,151807.594008022
784,180400011803,Black Rascal Creek-Bear Creek,3,0.226415,0,1,1,115366846.789062,100925.620799848
785,180400020401,180400020401,2,0.150943,0,2,0,63591073.0234375,46414.2005155686
786,180400510102,Shirley Creek,1,0.075472,0,1,0,63869636.7773438,48236.2731466987
787,180400510203,Peachys Creek-Littlejohns Creek,3,0.207547,1,2,0,153312953.300781,82243.3036382414
788,180400120702,Middle Jackson Creek,1,0.075472,0,1,0,97456702.8710938,56735.5364206673
789,180400110203,Rich Gulch-North Fork Calaveras River,0,0,0,0,0,90176065.7421875,79678.7822764526
790,180400120601,South Fork Dry Creek,0,0,0,0,0,81898487.2148438,62426.3603856794
791,180400130302,Slate Creek-South Fork Cosumnes River,0,0,0,0,0,120368295.820312,105746.199009996
792,180201280503,Volcano Canyon-Middle Fork American River,4,0.301887,0,2,1,144593583.675781,91987.9800560982
793,180201280401,Secret Canyon-North Fork Middle Fork American River,0,0,0,0,0,164001677.765625,54282.2148572591
794,180201250503,East Fork Creek-Middle Yuba River,1,0.056604,1,0,0,168017404.8125,64739.7445749834
795,180201230502,Jackson Creek-Middle Fork Feather River,1,0.113208,2,0,0,69295240.421875,41780.3085472061
